구분,통계제출업체수,이용자수(명),,,,,,,,,수입(천원),,,,,
,,객실,,,,,,부대시설,,,객실,,,부대시설,,
,,외국인,,내국인,,합계,,외국인,내국인,합계,내국인,,,외국인,내국인,합계
,,숙박객수,연숙박객수,숙박객수,연숙박객수,숙박객수,연숙박객수,,,,외국인,내국인,합계,,,
중구,2,"2,474","4,812","12,989","18,056","15,463","22,868",133,"2,761","2,894","167,849","480,906","648,755","7,716","111,130","118,846"
서구,3,"1,988","11,127","78,431","101,731","80,419","112,858",0,"1,159","1,159","583,606","3,316,885","3,900,491",0,"11,958","11,958"
유성구,7,"64,736","187,959","239,325","320,060","304,061","508,019","241,469","1,647,987","1,889,456","4,518,363","11,318,632","15,836,995","1,598,267","30,719,176","32,317,443"
합계,12,"69,198","203,898","330,745","439,847","399,943","643,745","241,602","1,651,907","1,893,509","5,269,818","15,116,423","20,386,241","1,605,983","30,842,264","32,448,247"
