시도,군구,관광지,구분,세부구분,내/외국인,총계(2018.01 ~ 2018.09),2018년,,,,,,,,,
대전광역시,동구,상소오토캠핑장,유료,측정,내국인,12566 ,12566 ,1158 ,1270 ,1949 ,2176 ,2720 ,3293 ,-,-,-
대전광역시,동구,상소오토캠핑장,유료,측정,합계,12566 ,12566 ,1158 ,1270 ,1949 ,2176 ,2720 ,3293 ,-,-,-
대전광역시,동구,찬샘마을,유료,측정,내국인,6663 ,6663 ,194 ,127 ,58 ,2898 ,1799 ,1587 ,-,-,-
대전광역시,동구,찬샘마을,유료,측정,합계,6663 ,6663 ,194 ,127 ,58 ,2898 ,1799 ,1587 ,-,-,-
대전광역시,동구,한밭교육박물관,무료,측정,내국인,10766 ,10766 ,1841 ,944 ,1703 ,2126 ,2215 ,1937 ,-,-,-
대전광역시,동구,한밭교육박물관,무료,측정,합계,10766 ,10766 ,1841 ,944 ,1703 ,2126 ,2215 ,1937 ,-,-,-
대전광역시,중구,대전 아쿠아월드,유료,측정,내국인,105817 ,105817 ,21416 ,16465 ,20173 ,14150 ,19182 ,14431 ,-,-,-
대전광역시,중구,대전 아쿠아월드,유료,측정,합계,105817 ,105817 ,21416 ,16465 ,20173 ,14150 ,19182 ,14431 ,-,-,-
대전광역시,중구,대전동물원,유료,측정,내국인,523655 ,523655 ,36102 ,37297 ,70098 ,131949 ,166951 ,81258 ,-,-,-
대전광역시,중구,대전동물원,유료,측정,합계,523655 ,523655 ,36102 ,37297 ,70098 ,131949 ,166951 ,81258 ,-,-,-
대전광역시,중구,뿌리공원,유료,측정,내국인,418785 ,418785 ,28466 ,29207 ,63908 ,85017 ,109965 ,102222 ,-,-,-
대전광역시,중구,뿌리공원,유료,측정,외국인,694 ,694 ,63 ,73 ,83 ,213 ,162 ,100 ,-,-,-
대전광역시,중구,뿌리공원,유료,측정,합계,419479 ,419479 ,28529 ,29280 ,63991 ,85230 ,110127 ,102322 ,-,-,-
대전광역시,서구,남선공원종합체육관,유료,측정,내국인,94172 ,94172 ,34781 ,32276 ,27115 ,-,-,-,-,-,-
대전광역시,서구,남선공원종합체육관,유료,측정,합계,94172 ,94172 ,34781 ,32276 ,27115 ,-,-,-,-,-,-
대전광역시,서구,대전시립미술관,유료,측정,내국인,20401 ,20401 ,7318 ,6329 ,6754 ,-,-,-,-,-,-
대전광역시,서구,대전시립미술관,유료,측정,합계,20401 ,20401 ,7318 ,6329 ,6754 ,-,-,-,-,-,-
대전광역시,서구,장태산자연휴양림,유료,측정,내국인,129913 ,129913 ,53525 ,31501 ,44887 ,-,-,-,-,-,-
대전광역시,서구,장태산자연휴양림,유료,측정,합계,129913 ,129913 ,53525 ,31501 ,44887 ,-,-,-,-,-,-
대전광역시,유성구,국립중앙과학관,유료,측정,내국인,684182 ,684182 ,93508 ,82886 ,86110 ,142660 ,173993 ,105025 ,-,-,-
대전광역시,유성구,국립중앙과학관,유료,측정,합계,684182 ,684182 ,93508 ,82886 ,86110 ,142660 ,173993 ,105025 ,-,-,-
대전광역시,유성구,대전어린이회관,유료,측정,내국인,211908 ,211908 ,37838 ,28966 ,26358 ,41807 ,40514 ,36425 ,-,-,-
대전광역시,유성구,대전어린이회관,유료,측정,합계,211908 ,211908 ,37838 ,28966 ,26358 ,41807 ,40514 ,36425 ,-,-,-
대전광역시,유성구,유성유스호스텔,유료,측정,내국인,6643 ,6643 ,1371 ,929 ,816 ,1348 ,1342 ,837 ,-,-,-
대전광역시,유성구,유성유스호스텔,유료,측정,합계,6643 ,6643 ,1371 ,929 ,816 ,1348 ,1342 ,837 ,-,-,-
대전광역시,유성구,계룡산 수통골,무료,측정,내국인,467926 ,467926 ,48454 ,47935 ,82958 ,82580 ,103115 ,102884 ,-,-,-
대전광역시,유성구,계룡산 수통골,무료,측정,합계,467926 ,467926 ,48454 ,47935 ,82958 ,82580 ,103115 ,102884 ,-,-,-
대전광역시,유성구,대전시민천문대,무료,측정,내국인,49620 ,49620 ,12035 ,5410 ,8949 ,6692 ,9080 ,7454 ,-,-,-
대전광역시,유성구,대전시민천문대,무료,측정,합계,49620 ,49620 ,12035 ,5410 ,8949 ,6692 ,9080 ,7454 ,-,-,-
대전광역시,유성구,솔로몬 로파크,무료,측정,내국인,123281 ,123281 ,13692 ,11180 ,19321 ,32518 ,5701 ,40869 ,-,-,-
대전광역시,유성구,솔로몬 로파크,무료,측정,합계,123281 ,123281 ,13692 ,11180 ,19321 ,32518 ,5701 ,40869 ,-,-,-
대전광역시,유성구,지질박물관,무료,측정,내국인,32545 ,32545 ,5951 ,3389 ,4136 ,7456 ,6741 ,4872 ,-,-,-
대전광역시,유성구,지질박물관,무료,측정,합계,32545 ,32545 ,5951 ,3389 ,4136 ,7456 ,6741 ,4872 ,-,-,-
대전광역시,유성구,화폐박물관,무료,측정,내국인,59768 ,59768 ,9776 ,4888 ,6055 ,21378 ,11277 ,6394 ,-,-,-
대전광역시,유성구,화폐박물관,무료,측정,합계,59768 ,59768 ,9776 ,4888 ,6055 ,21378 ,11277 ,6394 ,-,-,-
대전광역시,대덕구,로하스가족공원 캠핑장,유료,측정,내국인,14240 ,14240 ,1090 ,1470 ,2020 ,2688 ,3428 ,3544 ,-,-,-
대전광역시,대덕구,로하스가족공원 캠핑장,유료,측정,합계,14240 ,14240 ,1090 ,1470 ,2020 ,2688 ,3428 ,3544 ,-,-,-
