구분,판매가능 객실수,판매 객실수,이용률(%),전년대비(%),1객실당 평균 판매요금(원),1객실당 평균 투숙인원(명)
동구,"72,635","35,032",48.2,58.55,23113 ,0.93
중구,"11,315","3,481",30.8,-35.43,42065 ,1.48
서구,"41,610","25,056",60.2,-9.34,53895 ,1.89
유성구,"320,835","145,708",45.4,-22.26,85091 ,2.41
,,,,,,
